run_id,repetition,episodes_total,fallback_episodes,fallback_rate,fallback_recall,fallback_fpr,fallback_fp,fallback_tp,non_fallback_episodes,non_fallback_recall,non_fallback_fpr,non_fallback_fp,non_fallback_tp,delta_recall_nonfb_minus_fb,delta_fpr_nonfb_minus_fb
blue_mem_phase_s2_ablation_static_mem_w1_rep_01,1,40,0,0.0000,,,0,0,40,0.5517,0.0000,0,16,,
blue_mem_phase_s2_ablation_static_mem_w1_rep_02,2,40,0,0.0000,,,0,0,40,0.4483,0.0000,0,13,,
blue_mem_phase_s2_ablation_static_mem_w1_rep_03,3,40,0,0.0000,,,0,0,40,0.3929,0.0000,0,11,,
blue_mem_phase_s2_ablation_static_mem_w1_rep_04,4,40,0,0.0000,,,0,0,40,0.5000,0.0000,0,13,,
blue_mem_phase_s2_ablation_static_mem_w1_rep_05,5,40,0,0.0000,,,0,0,40,0.5172,0.0000,0,15,,
blue_mem_phase_s2_ablation_static_mem_w1_rep_06,6,40,0,0.0000,,,0,0,40,0.4167,0.0000,0,10,,
blue_mem_phase_s2_ablation_static_mem_w1_rep_07,7,40,0,0.0000,,,0,0,40,0.5417,0.0000,0,13,,
blue_mem_phase_s2_ablation_static_mem_w1_rep_08,8,40,0,0.0000,,,0,0,40,0.4333,0.0000,0,13,,
blue_mem_phase_s2_ablation_static_mem_w1_rep_09,9,40,0,0.0000,,,0,0,40,0.5625,0.0000,0,18,,
blue_mem_phase_s2_ablation_static_mem_w1_rep_10,10,40,0,0.0000,,,0,0,40,0.5152,0.0000,0,17,,
