run_id,repetition,episodes_total,fallback_episodes,fallback_rate,fallback_recall,fallback_fpr,fallback_fp,fallback_tp,non_fallback_episodes,non_fallback_recall,non_fallback_fpr,non_fallback_fp,non_fallback_tp,delta_recall_nonfb_minus_fb,delta_fpr_nonfb_minus_fb
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_01,1,40,19,0.4750,0.8421,,0,16,21,1.0000,0.0000,0,10,0.1579,
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_02,2,40,17,0.4250,0.7647,,0,13,23,1.0000,0.0000,0,12,0.2353,
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_03,3,40,12,0.3000,0.9167,,0,11,28,1.0000,0.0000,0,16,0.0833,
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_04,4,40,15,0.3750,0.8667,,0,13,25,1.0000,0.0000,0,11,0.1333,
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_05,5,40,15,0.3750,1.0000,,0,15,25,1.0000,0.0000,0,14,0.0000,
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_06,6,40,10,0.2500,1.0000,,0,10,30,1.0000,0.0000,0,14,0.0000,
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_07,7,40,14,0.3500,0.9286,,0,13,26,1.0000,0.0000,0,10,0.0714,
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_08,8,40,15,0.3750,0.8667,,0,13,25,1.0000,0.0000,0,15,0.1333,
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_09,9,40,20,0.5000,0.9000,,0,18,20,1.0000,0.0000,0,12,0.1000,
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_10,10,40,18,0.4500,0.9444,,0,17,22,1.0000,0.0000,0,15,0.0556,
