run_id,repetition,has_swap,phase1_backend,phase1_episodes,phase1_recall_containment,phase1_recall_detection,phase1_fpr_containment,phase1_mttd_mean,phase1_mttr_mean,phase2_backend,phase2_episodes,phase2_recall_containment,phase2_recall_detection,phase2_fpr_containment,phase2_mttd_mean,phase2_mttr_mean,delta_recall_containment_p2_minus_p1,delta_recall_detection_p2_minus_p1,delta_fpr_containment_p2_minus_p1,delta_mttd_p2_minus_p1,delta_mttr_p2_minus_p1
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_01,1,True,backend_a,20,1.0000,1.0000,0.0000,5.0000,35.0000,backend_b,20,0.7692,1.0000,0.0000,21.1538,51.0000,-0.2308,0.0000,0.0000,16.1538,16.0000
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_02,2,True,backend_a,20,1.0000,1.0000,0.0000,6.1538,36.1538,backend_b,20,0.7500,1.0000,0.0000,19.6875,54.5833,-0.2500,0.0000,0.0000,13.5337,18.4295
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_03,3,True,backend_a,20,1.0000,1.0000,0.0000,5.4545,32.7273,backend_b,20,0.9412,1.0000,0.0000,21.1765,52.5000,-0.0588,0.0000,0.0000,15.7219,19.7727
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_04,4,True,backend_a,20,1.0000,1.0000,0.0000,4.6154,34.6154,backend_b,20,0.8462,1.0000,0.0000,23.0769,51.3636,-0.1538,0.0000,0.0000,18.4615,16.7483
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_05,5,True,backend_a,20,1.0000,1.0000,0.0000,5.3333,35.3333,backend_b,20,1.0000,1.0000,0.0000,25.7143,55.7143,0.0000,0.0000,0.0000,20.3810,20.3810
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_06,6,True,backend_a,20,1.0000,1.0000,0.0000,10.0000,40.0000,backend_b,20,1.0000,1.0000,0.0000,24.2857,54.2857,0.0000,0.0000,0.0000,14.2857,14.2857
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_07,7,True,backend_a,20,1.0000,1.0000,0.0000,6.1538,36.1538,backend_b,20,0.9091,1.0000,0.0000,23.1818,55.5000,-0.0909,0.0000,0.0000,17.0280,19.3462
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_08,8,True,backend_a,20,1.0000,1.0000,0.0000,7.6923,37.6923,backend_b,20,0.8824,1.0000,0.0000,19.7059,48.0000,-0.1176,0.0000,0.0000,12.0136,10.3077
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_09,9,True,backend_a,20,1.0000,1.0000,0.0000,6.6667,36.6667,backend_b,20,0.8571,1.0000,0.0000,17.8571,50.8333,-0.1429,0.0000,0.0000,11.1905,14.1667
blue_mem_phase_s4_ablation_gemini_nomcp_w1_rep_10,10,True,backend_a,20,1.0000,1.0000,0.0000,7.0588,37.0588,backend_b,20,0.9375,1.0000,0.0000,19.6875,51.0000,-0.0625,0.0000,0.0000,12.6287,13.9412
