run_id,repetition,episodes_total,llm_called_episodes,llm_call_rate,cache_hit_episodes,cache_hit_rate,gemini_source_episodes,gemini_source_rate,ollama_source_episodes,ollama_source_rate,fallback_source_episodes,fallback_source_rate,none_source_episodes,none_source_rate
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_01,1,40,4,0.1000,29,0.7250,12,0.3000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_02,2,40,2,0.0500,29,0.7250,1,0.0250,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_03,3,40,1,0.0250,33,0.8250,2,0.0500,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_04,4,40,0,0.0000,32,0.8000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_05,5,40,1,0.0250,32,0.8000,1,0.0250,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_06,6,40,0,0.0000,32,0.8000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_07,7,40,0,0.0000,34,0.8500,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_08,8,40,0,0.0000,36,0.9000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_09,9,40,0,0.0000,34,0.8500,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_10,10,40,0,0.0000,35,0.8750,0,0.0000,0,0.0000,0,0.0000,0,0.0000
