run_id,repetition,has_swap,phase1_backend,phase1_episodes,phase1_recall_containment,phase1_recall_detection,phase1_fpr_containment,phase1_mttd_mean,phase1_mttr_mean,phase2_backend,phase2_episodes,phase2_recall_containment,phase2_recall_detection,phase2_fpr_containment,phase2_mttd_mean,phase2_mttr_mean,delta_recall_containment_p2_minus_p1,delta_recall_detection_p2_minus_p1,delta_fpr_containment_p2_minus_p1,delta_mttd_p2_minus_p1,delta_mttr_p2_minus_p1
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_01,1,True,backend_a,20,1.0000,1.0000,0.0000,4.4444,4.4444,backend_b,20,0.9231,1.0000,0.0000,27.6923,30.0000,-0.0769,0.0000,0.0000,23.2479,25.5556
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_02,2,True,backend_a,20,1.0000,1.0000,0.0000,4.6154,4.6154,backend_b,20,0.9091,1.0000,0.0000,19.0909,19.0000,-0.0909,0.0000,0.0000,14.4755,14.3846
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_03,3,True,backend_a,20,1.0000,1.0000,0.0000,6.6667,6.6667,backend_b,20,1.0000,1.0000,0.0000,22.5000,22.5000,0.0000,0.0000,0.0000,15.8333,15.8333
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_04,4,True,backend_a,20,1.0000,1.0000,0.0000,6.6667,6.6667,backend_b,20,1.0000,1.0000,0.0000,23.3333,23.3333,0.0000,0.0000,0.0000,16.6667,16.6667
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_05,5,True,backend_a,20,1.0000,1.0000,0.0000,8.8889,8.8889,backend_b,20,1.0000,1.0000,0.0000,22.6923,22.6923,0.0000,0.0000,0.0000,13.8034,13.8034
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_06,6,True,backend_a,20,1.0000,1.0000,0.0000,7.1429,7.1429,backend_b,20,1.0000,1.0000,0.0000,17.5000,17.5000,0.0000,0.0000,0.0000,10.3571,10.3571
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_07,7,True,backend_a,20,1.0000,1.0000,0.0000,5.0000,5.0000,backend_b,20,1.0000,1.0000,0.0000,21.0714,21.0714,0.0000,0.0000,0.0000,16.0714,16.0714
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_08,8,True,backend_a,20,1.0000,1.0000,0.0000,7.2727,7.2727,backend_b,20,1.0000,1.0000,0.0000,22.5000,22.5000,0.0000,0.0000,0.0000,15.2273,15.2273
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_09,9,True,backend_a,20,1.0000,1.0000,0.0000,9.0909,9.0909,backend_b,20,1.0000,1.0000,0.0000,16.4286,16.4286,0.0000,0.0000,0.0000,7.3377,7.3377
blue_mem_phase_s3_gemini_coldstart_seed90210_w1_rep_10,10,True,backend_a,20,1.0000,1.0000,0.0000,5.4545,5.4545,backend_b,20,1.0000,1.0000,0.0000,22.6667,22.6667,0.0000,0.0000,0.0000,17.2121,17.2121
