run_id,repetition,episodes_total,llm_called_episodes,llm_call_rate,cache_hit_episodes,cache_hit_rate,gemini_source_episodes,gemini_source_rate,ollama_source_episodes,ollama_source_rate,fallback_source_episodes,fallback_source_rate,none_source_episodes,none_source_rate
blue_mem_phase_s3r_gemini_coldstart_w1_rep_01,1,40,4,0.1000,29,0.7250,13,0.3250,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3r_gemini_coldstart_w1_rep_02,2,40,2,0.0500,34,0.8500,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3r_gemini_coldstart_w1_rep_03,3,40,1,0.0250,36,0.9000,1,0.0250,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3r_gemini_coldstart_w1_rep_04,4,40,1,0.0250,32,0.8000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3r_gemini_coldstart_w1_rep_05,5,40,0,0.0000,34,0.8500,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3r_gemini_coldstart_w1_rep_06,6,40,0,0.0000,34,0.8500,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3r_gemini_coldstart_w1_rep_07,7,40,0,0.0000,31,0.7750,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3r_gemini_coldstart_w1_rep_08,8,40,1,0.0250,36,0.9000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3r_gemini_coldstart_w1_rep_09,9,40,1,0.0250,33,0.8250,0,0.0000,0,0.0000,0,0.0000,0,0.0000
blue_mem_phase_s3r_gemini_coldstart_w1_rep_10,10,40,0,0.0000,36,0.9000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
