run_id,repetition,has_swap,phase1_backend,phase1_episodes,phase1_recall_containment,phase1_recall_detection,phase1_fpr_containment,phase1_mttd_mean,phase1_mttr_mean,phase2_backend,phase2_episodes,phase2_recall_containment,phase2_recall_detection,phase2_fpr_containment,phase2_mttd_mean,phase2_mttr_mean,delta_recall_containment_p2_minus_p1,delta_recall_detection_p2_minus_p1,delta_fpr_containment_p2_minus_p1,delta_mttd_p2_minus_p1,delta_mttr_p2_minus_p1
blue_mem_phase_s3_haiku_coldstart_seed42000_w1_rep_01,1,True,backend_a,20,1.0000,1.0000,0.0000,6.1538,6.1538,backend_b,20,1.0000,1.0000,0.0000,27.1429,27.1429,0.0000,0.0000,0.0000,20.9890,20.9890
blue_mem_phase_s3_haiku_coldstart_seed42000_w1_rep_02,2,True,backend_a,20,1.0000,1.0000,0.0000,7.6923,7.6923,backend_b,20,1.0000,1.0000,0.0000,26.1538,26.1538,0.0000,0.0000,0.0000,18.4615,18.4615
blue_mem_phase_s3_haiku_coldstart_seed42000_w1_rep_03,3,True,backend_a,20,1.0000,1.0000,0.0000,6.6667,6.6667,backend_b,20,1.0000,1.0000,0.0000,22.5000,22.5000,0.0000,0.0000,0.0000,15.8333,15.8333
blue_mem_phase_s3_haiku_coldstart_seed42000_w1_rep_04,4,True,backend_a,20,1.0000,1.0000,0.0000,8.5714,8.5714,backend_b,20,1.0000,1.0000,0.0000,17.6923,17.6923,0.0000,0.0000,0.0000,9.1209,9.1209
blue_mem_phase_s3_haiku_coldstart_seed42000_w1_rep_05,5,True,backend_a,20,1.0000,1.0000,0.0000,6.1538,6.1538,backend_b,20,1.0000,1.0000,0.0000,21.0714,21.0714,0.0000,0.0000,0.0000,14.9176,14.9176
blue_mem_phase_s3_haiku_coldstart_seed42000_w1_rep_06,6,True,backend_a,20,1.0000,1.0000,0.0000,5.3333,5.3333,backend_b,20,1.0000,1.0000,0.0000,23.3333,23.3333,0.0000,0.0000,0.0000,18.0000,18.0000
blue_mem_phase_s3_haiku_coldstart_seed42000_w1_rep_07,7,True,backend_a,20,1.0000,1.0000,0.0000,7.2727,7.2727,backend_b,20,1.0000,1.0000,0.0000,23.5000,23.5000,0.0000,0.0000,0.0000,16.2273,16.2273
blue_mem_phase_s3_haiku_coldstart_seed42000_w1_rep_08,8,True,backend_a,20,1.0000,1.0000,0.0000,4.0000,4.0000,backend_b,20,1.0000,1.0000,0.0000,22.5000,22.5000,0.0000,0.0000,0.0000,18.5000,18.5000
blue_mem_phase_s3_haiku_coldstart_seed42000_w1_rep_09,9,True,backend_a,20,1.0000,1.0000,0.0000,6.6667,6.6667,backend_b,20,1.0000,1.0000,0.0000,15.0000,15.0000,0.0000,0.0000,0.0000,8.3333,8.3333
blue_mem_phase_s3_haiku_coldstart_seed42000_w1_rep_10,10,True,backend_a,20,1.0000,1.0000,0.0000,6.2500,6.2500,backend_b,20,1.0000,1.0000,0.0000,19.1667,19.1667,0.0000,0.0000,0.0000,12.9167,12.9167
