run_id,repetition,episodes_total,memory_hit_episodes,memory_coverage_rate,memory_override_episodes,memory_override_rate,memory_override_given_hit_rate,memory_influence_episodes,memory_influence_rate,memory_influence_given_hit_rate,memory_reinforce_episodes,memory_promote_episodes,memory_downgrade_episodes,override_TP,override_FP,override_TN,override_FN,no_override_TP,no_override_FP,no_override_TN,no_override_FN
blue_mem_phase_s3_qwen_coldstart_seed42000_w1_rep_01,1,40,27,0.6750,10,0.2500,0.3704,27,0.6750,1.0000,17,10,0,10,0,0,0,17,0,13,0
blue_mem_phase_s3_qwen_coldstart_seed42000_w1_rep_02,2,40,26,0.6500,9,0.2250,0.3462,26,0.6500,1.0000,17,9,0,9,0,0,0,17,0,14,0
blue_mem_phase_s3_qwen_coldstart_seed42000_w1_rep_03,3,40,28,0.7000,9,0.2250,0.3214,28,0.7000,1.0000,19,9,0,9,0,0,0,19,0,12,0
blue_mem_phase_s3_qwen_coldstart_seed42000_w1_rep_04,4,40,27,0.6750,11,0.2750,0.4074,27,0.6750,1.0000,16,11,0,11,0,0,0,16,0,13,0
blue_mem_phase_s3_qwen_coldstart_seed42000_w1_rep_05,5,20,13,0.6500,4,0.2000,0.3077,13,0.6500,1.0000,9,4,0,4,0,0,0,9,0,7,0
blue_mem_phase_s3_qwen_coldstart_seed42000_w1_rep_06,6,40,26,0.6500,5,0.1250,0.1923,26,0.6500,1.0000,21,5,0,5,0,0,0,22,0,13,0
blue_mem_phase_s3_qwen_coldstart_seed42000_w1_rep_07,7,40,20,0.5000,6,0.1500,0.3000,20,0.5000,1.0000,14,6,0,6,0,0,0,15,0,19,0
blue_mem_phase_s3_qwen_coldstart_seed42000_w1_rep_08,8,40,28,0.7000,10,0.2500,0.3571,28,0.7000,1.0000,18,10,0,10,0,0,0,19,0,11,0
blue_mem_phase_s3_qwen_coldstart_seed42000_w1_rep_09,9,40,22,0.5500,9,0.2250,0.4091,21,0.5250,0.9545,12,9,0,9,0,0,0,14,0,17,0
blue_mem_phase_s3_qwen_coldstart_seed42000_w1_rep_10,10,40,27,0.6750,10,0.2500,0.3704,27,0.6750,1.0000,17,10,0,10,0,0,0,18,0,12,0
